Country,Trend (slope),R²
Angola,16885.42825361512,0.12676597472298523
Bolivia (Plurinational State of),73521.69076751945,0.9859120833110097
Brazil,31509503.893214673,0.9908699692030598
Burundi,85.12124582869853,0.0036859567433759066
Cameroon,-48439.19466073413,0.336371164156007
Central African Republic,-4475.639599555059,0.005825958805507292
Colombia,1078374.8502780863,0.530005932683555
Congo,231.1368186874304,0.1611314158588909
Costa Rica,-24819.15016685205,0.01257556941579685
Cuba,53148.38709677418,0.4452392118295544
Côte d'Ivoire,712885.3348164625,0.6681655381618308
Democratic Republic of Congo,-774.1935483870966,0.09677419354837957
Dominican Republic,172809.06340378194,0.8294042227943503
Ecuador,-488529.4771968853,0.7308991382569872
El Salvador,241001.4327030033,0.4674139245849799
Ethiopia,5771305.895439376,0.9901886366380578
Gabon,-1006.1713014460506,0.1958397184687346
Ghana,-34531.70189098998,0.3948205672472165
Guatemala,214798.6651835372,0.7227529825908748
Guinea,19735.261401557276,0.15232960747486268
Guyana,18457.639751552793,0.8221384358694822
Haiti,71546.16240266961,0.22750796777308113
Honduras,431298.6874304782,0.6882647063506866
India,1554638.4694104556,0.9174651905174851
Indonesia,8629268.075639598,0.9368605679764517
Jamaica,-8339.973303670742,0.15393583211287376
Kenya,28812.01334816462,0.4764076482638635
Lao People's Democratic Republic,80061.91950464399,0.3258285097241893
Liberia,2162.4026696329247,0.2703003337041133
Madagascar,471645.57063403766,0.28025096295277674
Malawi,-2522.8031145717455,0.6307007786429357
Mexico,3396560.6229143487,0.8716466181867991
Nicaragua,314432.76974416006,0.818420150487932
Nigeria,7788.6540600667395,0.21315508860039123
Panama,-8532.734149054504,0.10521445969731702
Papua New Guinea,-1248.2936596218015,0.19306653325948697
Paraguay,5406.006674082311,0.2703003337041141
Peru,151635.15016685202,0.8824668575284016
Philippines,5859951.056729698,0.836835387725419
Rwanda,-1036.671857619577,0.06201064167670123
Sierra Leone,-5766.4071190211325,0.37607002950138013
Sri Lanka,-832.1646273637388,0.00013115769290672485
Tanzania,196751.10567296986,0.902137443807416
Thailand,2657139.043381534,0.8863676172916454
Timor-Leste,0.0,1.0
Togo,-2091.377085650722,0.16061035525609446
Trinidad & Tobago,-5853.170189098998,0.187879007973056
Uganda,420655.39488320344,0.9817343584566045
Venezuela,1881218.2458286977,0.7968470109023086
Viet Nam,5573589.837597329,0.9040164153176926
Yemen,-250882.3529411765,0.7293097503377858
Zambia,-2360.4210526315787,0.37127599751248064
Zimbabwe,-7529.058954393769,0.47652674300660336
